capteur,sigma_court_terme,sigma_long_terme,ratio_long_sur_court,Ppk_performance_reelle,Cpk_potentiel,ecart_potentiel_cache
Sensor_590,27.2646,93.8646,3.44,1.333,4.59,3.257
Sensor_587,0.0044,0.0124,2.82,1.333,3.762,2.429
Sensor_588,0.0031,0.0088,2.8,1.333,3.727,2.394
Sensor_589,0.001,0.0029,2.78,1.333,3.707,2.373
Sensor_130,0.457,1.2174,2.66,1.333,3.552,2.219
Sensor_407,1.1231,2.8229,2.51,1.333,3.351,2.018
Sensor_406,0.0046,0.0107,2.33,1.333,3.101,1.768
Sensor_540,0.5453,1.2497,2.29,1.333,3.055,1.722
Sensor_123,0.3973,0.9015,2.27,1.333,3.026,1.692
Sensor_268,0.0131,0.0296,2.26,1.333,3.01,1.676
Sensor_269,3.2632,7.3264,2.25,1.333,2.994,1.66
Sensor_541,0.3257,0.7301,2.24,1.333,2.989,1.656
Sensor_128,0.0612,0.135,2.21,1.333,2.942,1.608
Sensor_133,0.0245,0.053,2.17,1.333,2.89,1.557
Sensor_122,0.0486,0.0993,2.04,1.333,2.724,1.391
Sensor_131,0.0406,0.0823,2.03,1.333,2.705,1.372
Sensor_125,0.0563,0.1138,2.02,1.333,2.693,1.36
Sensor_117,0.0051,0.0095,1.88,1.333,2.506,1.173
Sensor_543,0.0015,0.0027,1.83,1.333,2.435,1.101
Sensor_041,16.0989,23.9119,1.49,1.333,1.98,0.647
