capteur,moyenne,sigma_estime,UCL,LCL,nb_points_hors_controle,pct_hors_controle
Sensor_001,3014.4415507338863,71.0243664121446,3227.51464997032,2801.3684514974525,19,1.2125079770261646
Sensor_002,2495.8661104020425,75.14231950218742,2721.2930689086047,2270.4391518954803,30,1.9144862795149968
Sensor_003,2200.5519580089344,23.530240856226744,2271.1426805776146,2129.9612354402543,37,2.361199744735163
Sensor_004,1395.383474090619,329.1657569880348,2382.8807450547233,407.8862031265147,42,2.6802807913209956
Sensor_005,4.171280536056158,5.358964769979078,20.248174845993393,-11.905613773881075,4,0.2552648372686663
Sensor_007,101.11647562220804,4.668536294303597,115.12208450511883,87.11086673929725,88,5.615826419910657
Sensor_008,0.12182482450542437,0.0022898494606124827,0.12869437288726182,0.11495527612358691,8,0.5105296745373326
Sensor_009,1.4628600510529675,0.06395518011285926,1.6547255913915453,1.2709945107143896,9,0.574345883854499
Sensor_010,-0.0008416081684747925,0.013805727652328289,0.04057557478851007,-0.042258791125459653,17,1.0848755583918315
Sensor_011,0.00014607530312699425,0.00834759925002038,0.025188873053188135,-0.024896722446934146,24,1.5315890236119976
Sensor_012,0.9643546266751756,0.00836531842431818,0.9894505819481301,0.9392586714022211,8,0.5105296745373326
Sensor_013,199.95627166560305,2.4111924041919157,207.1898488781788,192.72269445302732,13,0.8296107211231653
Sensor_015,9.005297064454373,2.278326336240863,15.840276073176963,2.1703180557317836,15,0.9572431397574984
Sensor_016,413.08437568602426,9.143159889224027,440.51385535369633,385.6548960183522,7,0.4467134652201659
Sensor_017,9.9074958838545,0.5047822239884787,11.421842555819936,8.393149211889064,10,0.6381620931716656
Sensor_018,0.9714461391193363,0.006291722145231559,0.990321305555031,0.9525709726836417,7,0.4467134652201659
Sensor_019,190.04662003828972,2.4081766913036793,197.27115011220076,182.82208996437868,14,0.8934269304403318
Sensor_020,12.481152456924061,0.09197394998324326,12.757074306873792,12.20523060697433,24,1.5315890236119976
Sensor_021,1.4050542437779197,0.01489803266215592,1.4497483417643875,1.3603601457914518,19,1.2125079770261646
Sensor_022,-5618.2721761327375,451.6637342282366,-4263.280973448028,-6973.263378817447,28,1.7868538608806637
Sensor_023,2699.3332801531587,208.85953053811946,3325.9118717675174,2072.7546885388,47,2.9993618379068283
Sensor_024,-3806.3181768985323,1241.0864434163927,-83.05884664935411,-7529.577507147711,50,3.190810465858328
Sensor_025,-298.31753841735804,2522.329555922394,7268.671129349824,-7865.30620618454,46,2.935545628589662
Sensor_026,1.2039457562220806,0.11690460177712562,1.5546595615534575,0.8532319508907037,39,2.488832163369496
Sensor_027,1.9385380982769624,0.08424674827676785,2.1912783431072658,1.685797853446659,39,2.488832163369496
Sensor_028,6.639427058072751,0.782940058241171,8.988247232796263,4.290606883349238,52,3.318442884492661
Sensor_029,69.49909336311424,2.533162821662455,77.0985818281016,61.899604898126874,36,2.297383535417996
Sensor_030,2.3662122527121885,0.37469266007264296,3.4902902329301173,1.2421342724942597,11,0.7019783024888321
Sensor_031,0.18416215698787494,0.029439134353233153,0.2724795600475744,0.09584475392817549,13,0.8296107211231653
Sensor_032,3.672880280791321,0.3710851946957963,4.78613586487871,2.5596246967039322,8,0.5105296745373326
Sensor_033,85.33733978940651,1.2206267605952736,88.99922007119234,81.67545950762069,27,1.723037651563497
